epoch,lr,loss,iou,val_loss,val_iou
0.0,0.0003,0.726183738204695,0.40565400556775044,0.5337019695176018,0.6575198352131716
1.0,0.0003,0.5006607939444837,0.7108887947239341,0.49383988314204746,0.6955567746854601
2.0,0.0003,0.46222117348086267,0.7476495414960025,0.360866806573338,0.6637390156413449
3.0,0.0003,0.5544031578160468,0.591341934771947,0.5101978878180186,0.5626685410407236
4.0,0.0003,0.40095240711456254,0.7014890105569912,0.34922369486755794,0.6370221822666836
5.0,0.0003,0.368423672304267,0.7120995034674481,0.2909852746460173,0.6942789046045261
6.0,0.0003,0.3962970054930165,0.6401139714983145,0.4529748260974884,0.6005753246569819
7.0,0.0003,0.4537108003915775,0.5983871675670237,0.4541915953159332,0.6050988515349284
8.0,0.0003,0.5618234097602821,0.5942870719210471,0.5256752669811249,0.6750596466983788
9.0,0.0003,0.4944596629412401,0.7333056597229901,0.48650112085872227,0.7189770088277699
10.0,0.0003,0.4629057001854692,0.7671049980596633,0.46966862347390914,0.7217998921463497
11.0,0.0003,0.37517902192970115,0.6783761387409654,0.33378148244486916,0.6615968411265288
12.0,0.0003,0.41339929845361484,0.6129813593532806,0.3535229398144616,0.6544582899376631
13.0,0.0003,0.34768668970181826,0.6958684693972997,0.40878237618340385,0.6493348475853937
14.0,0.0003,0.4530950489320925,0.6080544175814491,0.5236250195238326,0.5331406496749829
15.0,0.0003,0.3021215196876299,0.7116620514262498,0.3599249025185903,0.6404108225917383
16.0,0.0003,0.4087770834919952,0.6214946764518782,0.40416762563917374,0.5946744302578653
17.0,0.0003,0.3123371002397367,0.7135079764774446,0.32500167853302425,0.6592354153279113
18.0,0.0003,0.29700574544923647,0.7336555286308756,0.25884142021338147,0.7026559600763024
19.0,0.0003,0.33769676373118446,0.6640413821611094,0.3110315402348836,0.6770138803998035
20.0,0.0003,0.32250126229510423,0.7239134038070351,0.38038795855310226,0.688901728122866
21.0,0.0003,0.34711916460877373,0.6832582605699713,0.2893762555387285,0.6723918610447385
22.0,0.0003,0.34475309197746573,0.6908547121295351,0.31180765893724227,0.6552871387638386
23.0,0.0003,0.3613424206241256,0.6780833527984075,0.3450038317177031,0.6218895726473178
24.0,0.0003,0.29459610767662525,0.7206360385425787,0.33060897721184623,0.6497462430825386
25.0,0.0003,0.3539105952229528,0.646137926903473,0.36136431329780155,0.6315442164475461
26.0,0.0003,0.3363441398722075,0.6724023593293432,0.35623810688654584,0.646927992055157
27.0,0.0003,0.30927315664788085,0.7142785027995922,0.37080284456412,0.631350010633222
28.0,0.0003,0.26206289001163985,0.7405141816406952,0.31065624621179366,0.6765461938766477
29.0,0.0003,0.2977454974537804,0.7177900987501966,0.3550247550010681,0.651534666352626
30.0,0.0003,0.29265574348114787,0.7343374760724595,0.29001640280087787,0.6846336205559707
31.0,0.0003,0.30591752424481367,0.7111071773490678,0.3093020518620809,0.6801038361706886
32.0,0.0003,0.30334329631711754,0.734965397510041,0.3547576417525609,0.6722436926791233
33.0,0.0003,0.2815922551034462,0.7470031728495186,0.333868134352896,0.6541061782611993
34.0,0.0003,0.38378024766487734,0.6396492230680664,0.7147664560212029,0.33918611054202497
