epoch,lr,loss,iou,val_loss,val_iou
0.0,0.0003,0.6091106475463935,0.576392924798934,0.5330670773983002,0.6592278661483072
1.0,0.0003,0.4739431529527619,0.7344381990632742,0.4855702684985267,0.6864948986040637
2.0,0.0003,0.453359099903277,0.7585998469433785,0.483837001853519,0.7294552012237657
3.0,0.0003,0.44326975994876455,0.7774252254223523,0.4623020754920112,0.7339925269289745
4.0,0.0003,0.4420740214132127,0.7741786382472153,0.4592084719075097,0.7143866628295799
5.0,0.0003,0.43464599390115055,0.7864134605592723,0.4418780141406589,0.7612711130944633
6.0,0.0003,0.4348431669530414,0.7807956445015517,0.474862191412184,0.6810415148125739
7.0,0.0003,0.4225231558084488,0.8034536340674902,0.43902389539612663,0.7634653233394866
8.0,0.0003,0.41552237492232097,0.812678228446013,0.43545810381571454,0.7602984850351127
9.0,0.0003,0.36284360466968446,0.7950406545814344,0.5587875876161787,0.5997398819380673
10.0,0.0003,0.3893139114869492,0.7109897693151838,0.35960884888966876,0.7079448243133887
11.0,0.0003,0.47437870129942894,0.599040955587974,0.615647382206387,0.5718134542678736
12.0,0.0003,0.4197888838215953,0.6509701148967717,0.4140413983000649,0.647122494366471
13.0,0.0003,0.6663427849610647,0.2994552395936912,0.5512562923961215,0.6069830893827627
14.0,0.0003,0.5578504969321546,0.5653674487922192,0.5043471720483568,0.6655587974888922
15.0,0.0003,0.4381734382893358,0.6960151649399672,0.5501680307918124,0.5732630930354339
16.0,0.0003,0.7356851122209004,0.4066087401065292,0.5420830547809601,0.6308584331155815
17.0,0.0003,0.49725450876922833,0.6673085674870893,0.3907899144623015,0.6058777357313365
18.0,0.0003,0.4178285797437032,0.7113874283414313,0.46752453512615627,0.6947614887931203
19.0,0.0003,0.43414019278827165,0.6404876613693962,0.5193427635563744,0.523673977123716
20.0,0.0003,0.43740691155904815,0.6416960183393903,0.32628122799926335,0.6858605455617542
21.0,0.0003,0.3754299668861287,0.7015518176576582,0.3243928137752745,0.6657483563354589
22.0,0.0003,0.3213820805152257,0.7478603040197876,0.284204449918535,0.7083935131944136
23.0,0.0003,0.32500915519804474,0.7294172227372812,0.3171532418992784,0.6730768795832666
24.0,0.0003,0.34185441255214666,0.7298258262444997,0.38018815716107685,0.6472311110091575
25.0,0.0003,0.3649303587597041,0.6897768510633557,0.329467299911711,0.7002485351605594
26.0,0.0003,0.4028997928613708,0.65531381031749,0.3299353172381719,0.6965144735463874
27.0,0.0003,0.2846843082280386,0.7525112096473432,0.34318813184897107,0.6552385207005936
28.0,0.0003,0.32233975428555695,0.7148717714941921,0.3375218030479219,0.6729877472343033
29.0,0.0003,0.38325012617167975,0.6392610521085839,0.5796912610530853,0.36652090188851977
30.0,0.0003,0.38538065552711487,0.6505808396695368,0.3158664024538464,0.6659588009586495
31.0,0.0003,0.37757869330900057,0.6428001277601825,0.4040420220957862,0.6308942422249065
32.0,0.0003,0.3606648640707135,0.676631009531015,0.34232694076167214,0.6623191060601646
